[1mTotal memory size:[0m 393216 B, 384 KiB, 0 MiB

[1m Step     Time Std, s     Time Opt, s  Interact/s Std  Interact/s Opt     GFLOP/s Std     GFLOP/s Opt[0m
    0       3.768e+00       0.000e+00       7.125e+07       0.000e+00             1.2             0.0
    1       3.782e+00       0.000e+00       7.099e+07       0.000e+00             1.2             0.0
    2       3.866e+00       0.000e+00       6.943e+07       0.000e+00             1.2             0.0
    3       3.737e+00       0.000e+00       7.183e+07       0.000e+00             1.2             0.0
    4       3.859e+00       0.000e+00       6.956e+07       0.000e+00             1.2             0.0
    5       3.863e+00       0.000e+00       6.949e+07       0.000e+00             1.2             0.0
    6       3.840e+00       0.000e+00       6.991e+07       0.000e+00             1.2             0.0
    7       3.829e+00       0.000e+00       7.011e+07       0.000e+00             1.2             0.0
    8       3.755e+00       0.000e+00       7.149e+07       0.000e+00             1.2             0.0
    9       3.833e+00       0.000e+00       7.002e+07       0.000e+00             1.2             0.0
   10       3.835e+00       0.000e+00       7.000e+07       0.000e+00             1.2             0.0
   11       3.781e+00       0.000e+00       7.100e+07       0.000e+00             1.2             0.0
   12       3.867e+00       0.000e+00       6.942e+07       0.000e+00             1.2             0.0
    0       0.000e+00       1.333e-01       0.000e+00       2.014e+09             0.0            34.2
    1       0.000e+00       1.368e-01       0.000e+00       1.962e+09             0.0            33.4
    2       0.000e+00       1.323e-01       0.000e+00       2.030e+09             0.0            34.5
    3       0.000e+00       1.350e-01       0.000e+00       1.988e+09             0.0            33.8
    4       0.000e+00       1.442e-01       0.000e+00       1.861e+09             0.0            31.6
    5       0.000e+00       1.810e-01       0.000e+00       1.483e+09             0.0            25.2
    6       0.000e+00       1.570e-01       0.000e+00       1.709e+09             0.0            29.1
    7       0.000e+00       1.625e-01       0.000e+00       1.652e+09             0.0            28.1
    8       0.000e+00       1.564e-01       0.000e+00       1.716e+09             0.0            29.2
    9       0.000e+00       1.725e-01       0.000e+00       1.557e+09             0.0            26.5
   10       0.000e+00       1.825e-01       0.000e+00       1.471e+09             0.0            25.0
   11       0.000e+00       1.602e-01       0.000e+00       1.675e+09             0.0            28.5
   12       0.000e+00       1.379e-01       0.000e+00       1.946e+09             0.0            33.1
-----------------------------------------------------
[1mStandard Version Performance: [0m       1.2 +- 0.0 GFLOP/s
[1mOptimized Version Performance: [0m      29.0 +- 2.9 GFLOP/s
-----------------------------------------------------
